
motOriginal,motAmeliore,raison,categorie,niveau
constamment,perpétuellement,"Plus riche lexicalement",adverbe,avancé
rapidement,prestement,"Plus littéraire et élégant",adverbe,avancé
augmenter,accroître,"Plus soutenu et précis",verbe,avancé
finir,parachever,"Plus élaboré et expressif",verbe,avancé
important,prépondérant,"Plus distinctif et précis",adjectif,avancé
intéressant,captivant,"Plus expressif et engageant",adjectif,avancé
souvent,fréquemment,"Plus formel dans un discours",adverbe,intermédiaire
ensemble,concomitamment,"Plus technique et précis",adverbe,avancé
commencer,initier,"Plus formel et technique",verbe,avancé
montrer,démontrer,"Plus rigoureux dans un contexte argumentatif",verbe,avancé
cependant,néanmoins,"Transition plus élégante",conjonction,intermédiaire
généralement,communément,"Plus formel et nuancé",adverbe,avancé
particulièrement,singulièrement,"Plus distinctif et précis",adverbe,avancé
surtout,principalement,"Plus structuré dans un argumentaire",adverbe,intermédiaire
uniquement,exclusivement,"Plus précis et formel",adverbe,intermédiaire
simplement,sobrement,"Plus nuancé selon le contexte",adverbe,avancé
meilleur,optimal,"Plus technique et précis",adjectif,avancé
essentiel,fondamental,"Plus formel et structurant",adjectif,intermédiaire
problème,écueil,"Plus élégant et précis selon le contexte",nom,avancé
solution,résolution,"Plus formel et technique",nom,intermédiaire
